TRDTYPE,USASTATE,YEAR,MONTH,month_seq,COUNTRY,DISAGMOT,impact,VALUE
1.0,2,2010,6,0,1.0,2.0,23990038.0,218276.0
1.0,2,2010,6,0,1.0,1.0,23990038.0,17127165.0
2.0,2,2010,6,0,1.0,2.0,23990038.0,2468944.0
2.0,2,2010,6,0,1.0,1.0,23990038.0,16985164.0
1.0,2,2010,6,0,2.0,2.0,23990038.0,11003.0
1.0,2,2010,6,0,2.0,1.0,23990038.0,552158.0
2.0,2,2010,6,0,2.0,2.0,23990038.0,350752.0
2.0,2,2010,6,0,2.0,1.0,23990038.0,56509.0
1.0,1,2010,6,0,1.0,2.0,640631.0,9664640.0
1.0,1,2010,6,0,1.0,1.0,640631.0,203618418.0
2.0,1,2010,6,0,1.0,2.0,640631.0,7350621.0
2.0,1,2010,6,0,1.0,1.0,640631.0,75536620.0
1.0,1,2010,6,0,2.0,2.0,640631.0,3669373.0
1.0,1,2010,6,0,2.0,1.0,640631.0,39963152.0
2.0,1,2010,6,0,2.0,2.0,640631.0,3970556.0
2.0,1,2010,6,0,2.0,1.0,640631.0,45450143.0
1.0,5,2010,6,0,1.0,2.0,23522682.0,1598020.0
1.0,5,2010,6,0,1.0,1.0,23522682.0,70707160.0
2.0,5,2010,6,0,1.0,2.0,23522682.0,4061499.0
2.0,5,2010,6,0,1.0,1.0,23522682.0,60073855.0
1.0,5,2010,6,0,2.0,2.0,23522682.0,450490.0
1.0,5,2010,6,0,2.0,1.0,23522682.0,24789619.0
2.0,5,2010,6,0,2.0,2.0,23522682.0,574106.0
2.0,5,2010,6,0,2.0,1.0,23522682.0,49371549.0
1.0,4,2010,6,0,1.0,2.0,13038848.0,61374350.0
1.0,4,2010,6,0,1.0,1.0,13038848.0,95510686.0
2.0,4,2010,6,0,1.0,2.0,13038848.0,23678647.0
2.0,4,2010,6,0,1.0,1.0,13038848.0,46000410.0
1.0,4,2010,6,0,2.0,2.0,13038848.0,12988232.0
1.0,4,2010,6,0,2.0,1.0,13038848.0,391071949.0
2.0,4,2010,6,0,2.0,2.0,13038848.0,3773501.0
2.0,4,2010,6,0,2.0,1.0,13038848.0,569114082.0
1.0,6,2010,6,0,1.0,2.0,13029892.0,234466420.0
1.0,6,2010,6,0,1.0,1.0,13029892.0,1049717162.0
2.0,6,2010,6,0,1.0,2.0,13029892.0,71482870.0
2.0,6,2010,6,0,1.0,1.0,13029892.0,663964717.0
1.0,6,2010,6,0,2.0,2.0,13029892.0,171377579.0
1.0,6,2010,6,0,2.0,1.0,13029892.0,1533118633.0
2.0,6,2010,6,0,2.0,2.0,13029892.0,151558396.0
2.0,6,2010,6,0,2.0,1.0,13029892.0,2499227817.0
1.0,8,2010,6,0,1.0,2.0,72682216.0,22817857.0
1.0,8,2010,6,0,1.0,1.0,72682216.0,113240041.0
2.0,8,2010,6,0,1.0,2.0,72682216.0,7956629.0
2.0,8,2010,6,0,1.0,1.0,72682216.0,78756091.0
1.0,8,2010,6,0,2.0,2.0,72682216.0,3574018.0
1.0,8,2010,6,0,2.0,1.0,72682216.0,45873064.0
2.0,8,2010,6,0,2.0,2.0,72682216.0,3989738.0
2.0,8,2010,6,0,2.0,1.0,72682216.0,43501148.0
1.0,9,2010,6,0,1.0,2.0,54347092.0,23588670.0
1.0,9,2010,6,0,1.0,1.0,54347092.0,100831593.0
2.0,9,2010,6,0,1.0,2.0,54347092.0,11404977.0
2.0,9,2010,6,0,1.0,1.0,54347092.0,92427051.0
1.0,9,2010,6,0,2.0,2.0,54347092.0,3130485.0
1.0,9,2010,6,0,2.0,1.0,54347092.0,41231110.0
2.0,9,2010,6,0,2.0,2.0,54347092.0,4489375.0
2.0,9,2010,6,0,2.0,1.0,54347092.0,156347344.0
1.0,11,2010,6,0,1.0,2.0,13839629.0,144353.0
1.0,11,2010,6,0,1.0,1.0,13839629.0,131026.0
2.0,11,2010,6,0,1.0,2.0,13839629.0,1318026.0
2.0,11,2010,6,0,1.0,1.0,13839629.0,3470741.0
1.0,11,2010,6,0,2.0,2.0,13839629.0,275418.0
1.0,11,2010,6,0,2.0,1.0,13839629.0,25098.0
